site_no,date_time,height_ft,discharge_cfs,station_nm,lat,long,coord_datum
08165300,2025-07-05T08:00:00Z,3.08,378,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T08:15:00Z,3.05,365,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T08:30:00Z,3.03,356,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T08:45:00Z,3,343,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T09:00:00Z,2.98,334,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T09:15:00Z,2.95,322,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T09:30:00Z,2.93,314,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T09:45:00Z,2.91,306,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T10:00:00Z,2.89,298,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T10:15:00Z,2.87,290,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T10:30:00Z,2.85,282,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T10:45:00Z,2.84,279,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T11:00:00Z,2.82,271,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T11:15:00Z,2.81,267,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T11:30:00Z,2.79,260,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T11:45:00Z,2.78,256,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T12:00:00Z,2.76,249,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T12:15:00Z,2.75,246,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T12:30:00Z,2.74,242,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-05T12:45:00Z,2.72,235,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
